Week,COVID: (Northern Ireland)
05/01/2020,0
12/01/2020,0
19/01/2020,0
26/01/2020,0
02/02/2020,0
09/02/2020,0
16/02/2020,0
23/02/2020,2
01/03/2020,3
08/03/2020,14
15/03/2020,34
22/03/2020,42
29/03/2020,35
05/04/2020,30
12/04/2020,24
19/04/2020,22
26/04/2020,22
03/05/2020,20
10/05/2020,21
17/05/2020,19
24/05/2020,18
31/05/2020,17
07/06/2020,17
14/06/2020,16
21/06/2020,15
28/06/2020,15
05/07/2020,15
12/07/2020,16
19/07/2020,17
26/07/2020,21
02/08/2020,24
09/08/2020,24
16/08/2020,28
23/08/2020,27
30/08/2020,28
06/09/2020,38
13/09/2020,36
20/09/2020,44
27/09/2020,39
04/10/2020,46
11/10/2020,52
18/10/2020,40
25/10/2020,34
01/11/2020,27
08/11/2020,30
15/11/2020,30
22/11/2020,27
29/11/2020,28
06/12/2020,30
13/12/2020,38
20/12/2020,48
27/12/2020,50
03/01/2021,57
10/01/2021,46
17/01/2021,36
24/01/2021,43
31/01/2021,33
07/02/2021,29
14/02/2021,35
21/02/2021,39
28/02/2021,32
07/03/2021,28
14/03/2021,38
21/03/2021,34
28/03/2021,36
04/04/2021,32
11/04/2021,33
18/04/2021,34
25/04/2021,36
02/05/2021,32
09/05/2021,28
16/05/2021,33
23/05/2021,34
30/05/2021,36
06/06/2021,27
13/06/2021,29
20/06/2021,36
27/06/2021,35
04/07/2021,38
11/07/2021,45
18/07/2021,56
25/07/2021,59
01/08/2021,53
08/08/2021,48
15/08/2021,49
22/08/2021,49
29/08/2021,49
05/09/2021,53
12/09/2021,41
19/09/2021,36
26/09/2021,32
03/10/2021,32
10/10/2021,32
17/10/2021,35
24/10/2021,31
31/10/2021,35
07/11/2021,33
14/11/2021,60
21/11/2021,57
28/11/2021,73
05/12/2021,59
12/12/2021,100
19/12/2021,74
26/12/2021,74
02/01/2022,58
09/01/2022,44
16/01/2022,56
23/01/2022,41
30/01/2022,35
06/02/2022,34
13/02/2022,33
20/02/2022,27
27/02/2022,24
06/03/2022,25
