date,areaName,areaCode,newCasesByPublishDate
2022-03-15,Northern Ireland,N92000002,2605
2022-03-14,Northern Ireland,N92000002,5523
2022-03-13,Northern Ireland,N92000002,0
2022-03-12,Northern Ireland,N92000002,0
2022-03-11,Northern Ireland,N92000002,2270
2022-03-10,Northern Ireland,N92000002,2602
2022-03-09,Northern Ireland,N92000002,2683
2022-03-08,Northern Ireland,N92000002,2669
2022-03-07,Northern Ireland,N92000002,5769
2022-03-06,Northern Ireland,N92000002,0
2022-03-05,Northern Ireland,N92000002,0
2022-03-04,Northern Ireland,N92000002,2236
2022-03-03,Northern Ireland,N92000002,2408
2022-03-02,Northern Ireland,N92000002,2407
2022-03-01,Northern Ireland,N92000002,2567
2022-02-28,Northern Ireland,N92000002,5168
2022-02-27,Northern Ireland,N92000002,0
2022-02-26,Northern Ireland,N92000002,0
2022-02-25,Northern Ireland,N92000002,2068
2022-02-24,Northern Ireland,N92000002,2486
2022-02-23,Northern Ireland,N92000002,2294
2022-02-22,Northern Ireland,N92000002,2951
2022-02-21,Northern Ireland,N92000002,2235
2022-02-20,Northern Ireland,N92000002,1865
2022-02-19,Northern Ireland,N92000002,2147
2022-02-18,Northern Ireland,N92000002,2469
2022-02-17,Northern Ireland,N92000002,3027
2022-02-16,Northern Ireland,N92000002,2889
2022-02-15,Northern Ireland,N92000002,2987
2022-02-14,Northern Ireland,N92000002,2465
2022-02-13,Northern Ireland,N92000002,2158
2022-02-12,Northern Ireland,N92000002,2633
2022-02-11,Northern Ireland,N92000002,2923
2022-02-10,Northern Ireland,N92000002,3609
2022-02-09,Northern Ireland,N92000002,3837
2022-02-08,Northern Ireland,N92000002,3959
2022-02-07,Northern Ireland,N92000002,3105
2022-02-06,Northern Ireland,N92000002,2694
2022-02-05,Northern Ireland,N92000002,3201
2022-02-04,Northern Ireland,N92000002,3833
2022-02-03,Northern Ireland,N92000002,4203
2022-02-02,Northern Ireland,N92000002,4769
2022-02-01,Northern Ireland,N92000002,4622
2022-01-31,Northern Ireland,N92000002,4159
2022-01-30,Northern Ireland,N92000002,3069
2022-01-29,Northern Ireland,N92000002,3590
2022-01-28,Northern Ireland,N92000002,3737
2022-01-27,Northern Ireland,N92000002,4243
2022-01-26,Northern Ireland,N92000002,4383
2022-01-25,Northern Ireland,N92000002,5023
2022-01-24,Northern Ireland,N92000002,3932
2022-01-23,Northern Ireland,N92000002,3059
2022-01-22,Northern Ireland,N92000002,3476
2022-01-21,Northern Ireland,N92000002,3568
2022-01-20,Northern Ireland,N92000002,3879
2022-01-19,Northern Ireland,N92000002,4451
2022-01-18,Northern Ireland,N92000002,4081
2022-01-17,Northern Ireland,N92000002,3295
2022-01-16,Northern Ireland,N92000002,2518
2022-01-15,Northern Ireland,N92000002,2668
2022-01-14,Northern Ireland,N92000002,2954
2022-01-13,Northern Ireland,N92000002,2980
2022-01-12,Northern Ireland,N92000002,2922
2022-01-11,Northern Ireland,N92000002,3420
2022-01-10,Northern Ireland,N92000002,2706
2022-01-09,Northern Ireland,N92000002,3760
2022-01-08,Northern Ireland,N92000002,3458
2022-01-07,Northern Ireland,N92000002,6444
2022-01-06,Northern Ireland,N92000002,6877
2022-01-05,Northern Ireland,N92000002,7133
2022-01-04,Northern Ireland,N92000002,30423
2022-01-03,Northern Ireland,N92000002,0
2022-01-02,Northern Ireland,N92000002,0
2022-01-01,Northern Ireland,N92000002,0
2021-12-31,Northern Ireland,N92000002,7215
2021-12-30,Northern Ireland,N92000002,4701
2021-12-29,Northern Ireland,N92000002,22972
2021-12-28,Northern Ireland,N92000002,0
2021-12-27,Northern Ireland,N92000002,0
2021-12-26,Northern Ireland,N92000002,0
2021-12-25,Northern Ireland,N92000002,0
2021-12-24,Northern Ireland,N92000002,3286
2021-12-23,Northern Ireland,N92000002,3227
2021-12-22,Northern Ireland,N92000002,3231
2021-12-21,Northern Ireland,N92000002,2096
2021-12-20,Northern Ireland,N92000002,2148
2021-12-19,Northern Ireland,N92000002,1798
2021-12-18,Northern Ireland,N92000002,2075
2021-12-17,Northern Ireland,N92000002,1887
2021-12-16,Northern Ireland,N92000002,2237
2021-12-15,Northern Ireland,N92000002,2156
2021-12-14,Northern Ireland,N92000002,1581
2021-12-13,Northern Ireland,N92000002,1431
2021-12-12,Northern Ireland,N92000002,1548
2021-12-11,Northern Ireland,N92000002,1446
2021-12-10,Northern Ireland,N92000002,1806
2021-12-09,Northern Ireland,N92000002,1819
2021-12-08,Northern Ireland,N92000002,1933
2021-12-07,Northern Ireland,N92000002,1658
2021-12-06,Northern Ireland,N92000002,1635
2021-12-05,Northern Ireland,N92000002,1422
2021-12-04,Northern Ireland,N92000002,1642
2021-12-03,Northern Ireland,N92000002,1908
2021-12-02,Northern Ireland,N92000002,2272
2021-12-01,Northern Ireland,N92000002,1992
2021-11-30,Northern Ireland,N92000002,1585
2021-11-29,Northern Ireland,N92000002,1464
2021-11-28,Northern Ireland,N92000002,1405
2021-11-27,Northern Ireland,N92000002,1482
2021-11-26,Northern Ireland,N92000002,2004
2021-11-25,Northern Ireland,N92000002,1549
2021-11-24,Northern Ireland,N92000002,1931
2021-11-23,Northern Ireland,N92000002,1476
2021-11-22,Northern Ireland,N92000002,1469
2021-11-21,Northern Ireland,N92000002,1406
2021-11-20,Northern Ireland,N92000002,1846
2021-11-19,Northern Ireland,N92000002,1690
2021-11-18,Northern Ireland,N92000002,1681
2021-11-17,Northern Ireland,N92000002,1848
2021-11-16,Northern Ireland,N92000002,1698
2021-11-15,Northern Ireland,N92000002,1457
2021-11-14,Northern Ireland,N92000002,1377
2021-11-13,Northern Ireland,N92000002,1806
2021-11-12,Northern Ireland,N92000002,1087
2021-11-11,Northern Ireland,N92000002,1462
2021-11-10,Northern Ireland,N92000002,1765
2021-11-09,Northern Ireland,N92000002,1228
2021-11-08,Northern Ireland,N92000002,1028
