date,new_cases_smoothed_ROI,stringency_index_ROI,new_cases_smoothed_NI,COVID: (Ireland),COVID: (Northern Ireland)
06/03/2020,2.571,11.11,2,29,14
07/03/2020,2.429,11.11,2,29,14
08/03/2020,2.571,11.11,3.002703918,29,14
09/03/2020,2.857,11.11,3.002025196,50,34
10/03/2020,4.571,11.11,2.398370344,50,34
11/03/2020,5.286,11.11,2.331525864,50,34
12/03/2020,5.286,31.48,2.139762107,50,34
13/03/2020,10.286,42.59,3.131611129,50,34
14/03/2020,15.857,42.59,3.34146127,50,34
15/03/2020,15.714,48.15,4.116663102,50,34
16/03/2020,21.143,48.15,4.382341162,57,42
17/03/2020,27,48.15,4.857469513,57,42
18/03/2020,35.571,48.15,4.946788719,57,42
19/03/2020,73.429,48.15,5.241417341,57,42
20/03/2020,84.714,48.15,5.496757795,57,42
21/03/2020,93.714,48.15,6.549249925,57,42
22/03/2020,111,48.15,7.35769342,57,42
23/03/2020,136.571,48.15,8.076294988,47,35
24/03/2020,158,48.15,8.934926582,47,35
25/03/2020,181.714,48.15,10.37450146,47,35
26/03/2020,180.286,57.41,11.43235701,47,35
27/03/2020,205.429,75.93,12.48753145,47,35
28/03/2020,232.857,85.19,14.1226718,47,35
29/03/2020,244.143,85.19,17.21156599,47,35
30/03/2020,255,85.19,21.58176221,37,30
31/03/2020,272.286,85.19,22.83142079,37,30
01/04/2020,269,85.19,25.90612402,37,30
02/04/2020,290,85.19,28.0945247,37,30
03/04/2020,307.429,85.19,31.74308282,37,30
04/04/2020,312.714,85.19,33.90066423,37,30
05/04/2020,339.857,85.19,35.81822448,37,30
06/04/2020,350.571,90.74,36.89918009,31,24
07/04/2020,353.429,90.74,38.80027135,31,24
08/04/2020,375.286,90.74,40.18981262,31,24
09/04/2020,389.286,90.74,43.11469463,31,24
10/04/2020,545.143,90.74,45.12006177,31,24
11/04/2020,617.714,90.74,47.47074841,31,24
12/04/2020,665.857,90.74,48.61915195,31,24
13/04/2020,754.714,90.74,49.35787732,27,22
14/04/2020,824.286,90.74,50.29669387,27,22
15/04/2020,924.714,90.74,52.11601438,27,22
16/04/2020,956.714,90.74,53.64739466,27,22
17/04/2020,841.571,90.74,55.69787515,27,22
18/04/2020,832.857,90.74,57.91985097,27,22
19/04/2020,799.429,90.74,60.30221865,27,22
20/04/2020,715,90.74,60.8262483,27,22
21/04/2020,651.571,90.74,60.12877482,27,22
22/04/2020,589.143,90.74,61.36821672,27,22
23/04/2020,619.429,90.74,63.1227575,27,22
24/04/2020,600.571,90.74,64.03831142,27,22
25/04/2020,543.286,90.74,64.87598395,27,22
26/04/2020,573,90.74,65.2284978,27,22
27/04/2020,570.857,90.74,65.2441008,24,20
28/04/2020,548.143,90.74,64.62309748,24,20
29/04/2020,511.714,90.74,64.43506004,24,20
30/04/2020,429.286,90.74,64.59964898,24,20
01/05/2020,378.429,90.74,65.02311277,24,20
02/05/2020,373.571,90.74,65.04128567,24,20
03/05/2020,320.571,90.74,65.27858108,24,20
04/05/2020,303.429,90.74,65.34567882,26,21
05/05/2020,300.857,90.74,64.98438225,26,21
06/05/2020,285,90.74,64.77472201,26,21
07/05/2020,253.286,90.74,64.52001479,26,21
08/05/2020,244,90.74,64.06937827,26,21
09/05/2020,226.286,90.74,63.93419307,26,21
10/05/2020,212.857,90.74,63.55530447,26,21
11/05/2020,194.714,90.74,63.00850547,23,19
12/05/2020,179.857,90.74,62.70290822,23,19
13/05/2020,164.714,90.74,62.66002757,23,19
14/05/2020,206,90.74,62.27388898,23,19
15/05/2020,202.143,90.74,61.71316166,23,19
16/05/2020,184,90.74,61.38174487,23,19
17/05/2020,159.429,90.74,60.8785481,23,19
18/05/2020,152.143,83.33,60.21031772,20,18
19/05/2020,144.143,83.33,59.61880705,20,18
20/05/2020,130.571,83.33,59.01384335,20,18
21/05/2020,80.571,83.33,58.76942621,20,18
22/05/2020,78.571,83.33,58.26149636,20,18
23/05/2020,76.286,83.33,58.01916821,20,18
24/05/2020,75.286,83.33,57.56082105,20,18
25/05/2020,71.143,83.33,57.30602295,20,17
26/05/2020,69.143,83.33,56.90810603,20,17
27/05/2020,69.714,83.33,56.49295247,20,17
28/05/2020,64.286,83.33,55.95483207,20,17
29/05/2020,52.857,83.33,55.44257698,20,17
30/05/2020,49.571,83.33,54.89023067,20,17
31/05/2020,50.143,83.33,54.27335182,20,17
01/06/2020,52,83.33,53.73431307,18,17
02/06/2020,47.286,83.33,53.10644903,18,17
03/06/2020,44,83.33,52.54260516,18,17
04/06/2020,43,83.33,52.30068793,18,17
05/06/2020,41,72.22,51.69624738,18,17
06/06/2020,36.286,72.22,51.23845763,18,17
07/06/2020,30.143,72.22,50.69421441,18,17
08/06/2020,20.714,72.22,50.16148984,16,16
09/06/2020,21.286,72.22,49.6044927,16,16
10/06/2020,17.143,72.22,49.17608156,16,16
11/06/2020,13.714,72.22,48.65206899,16,16
12/06/2020,12.429,72.22,48.27666782,16,16
13/06/2020,16,72.22,47.76066132,16,16
14/06/2020,14.571,72.22,47.30012815,16,16
15/06/2020,16.286,72.22,46.81507407,17,15
16/06/2020,17,72.22,46.31728213,17,15
17/06/2020,15.714,72.22,45.89521465,17,15
18/06/2020,16.714,72.22,45.40476934,17,15
19/06/2020,16.857,72.22,44.94530935,17,15
20/06/2020,11.286,72.22,44.46225252,17,15
21/06/2020,10.857,72.22,44.03085024,17,15
22/06/2020,8.857,72.22,43.57568635,22,15
23/06/2020,8.143,72.22,43.11836244,22,15
24/06/2020,7.857,72.22,42.69016614,22,15
25/06/2020,7.143,72.22,42.25933893,22,15
26/06/2020,6.571,38.89,41.86696175,22,15
27/06/2020,9,38.89,41.46116373,22,15
28/06/2020,8.571,38.89,41.05237507,22,15
29/06/2020,11.286,38.89,40.70083554,26,15
30/06/2020,11.714,38.89,40.32548594,26,15
01/07/2020,11.571,38.89,39.93678213,26,15
02/07/2020,12,38.89,39.6135485,26,15
03/07/2020,12,38.89,39.26651478,26,15
04/07/2020,10.286,38.89,38.88656189,26,15
05/07/2020,12.571,38.89,38.51289269,26,15
06/07/2020,9.857,38.89,38.14535391,25,16
07/07/2020,9.286,38.89,37.83118919,25,16
08/07/2020,9.286,38.89,37.51268311,25,16
09/07/2020,10.857,38.89,37.18992852,25,16
10/07/2020,13,38.89,36.88159528,25,16
11/07/2020,14.571,38.89,36.54121004,25,16
12/07/2020,14.429,38.89,36.20615419,25,16
13/07/2020,15.286,38.89,35.87630476,21,17
14/07/2020,18.857,38.89,35.56964705,21,17
15/07/2020,20.143,38.89,35.33064963,21,17
16/07/2020,19,38.89,35.15785586,21,17
17/07/2020,20.143,38.89,35.01431885,21,17
18/07/2020,19.857,38.89,34.70518379,21,17
19/07/2020,18.857,38.89,34.40064477,21,17
20/07/2020,18.286,38.89,34.10060115,22,21
21/07/2020,18.857,38.89,33.82229483,22,21
22/07/2020,19.429,38.89,33.60836739,22,21
23/07/2020,18.286,38.89,33.38896402,22,21
24/07/2020,16.429,38.89,33.23233312,22,21
25/07/2020,17,38.89,32.95090899,22,21
26/07/2020,17.286,38.89,32.67346871,22,21
27/07/2020,18,38.89,32.39992927,30,24
28/07/2020,18.143,38.89,32.20513216,30,24
29/07/2020,17.571,38.89,32.01303732,30,24
30/07/2020,28.714,38.89,31.81535742,30,24
31/07/2020,31.429,38.89,31.63675746,30,24
01/08/2020,34.286,38.89,31.37916439,30,24
02/08/2020,40.143,38.89,31.12505187,30,24
03/08/2020,45.143,38.89,30.87435074,31,24
04/08/2020,46.286,38.89,30.69108753,31,24
05/08/2020,51.571,38.89,30.52619208,31,24
06/08/2020,49.286,38.89,30.62507961,31,24
07/08/2020,57.857,38.89,30.5018543,31,24
08/08/2020,76.429,64.35,30.26254647,31,24
09/08/2020,78.571,64.35,30.02633189,31,24
10/08/2020,80,64.35,29.7931518,35,28
11/08/2020,78.286,64.35,29.93383072,35,28
12/08/2020,76.429,64.35,29.92665138,35,28
13/08/2020,79.571,64.35,29.75891501,35,28
14/08/2020,75,64.35,30.09568695,35,28
15/08/2020,78.143,64.35,30.36008649,35,28
16/08/2020,77.857,64.35,30.33475739,35,28
17/08/2020,77.857,64.35,30.39976338,26,27
18/08/2020,99.714,67.13,30.47890543,26,27
19/08/2020,101.286,67.13,30.50506942,26,27
20/08/2020,106.714,67.13,30.65664274,26,27
21/08/2020,108.571,67.13,30.57819837,26,27
22/08/2020,102.429,67.13,30.87436564,26,27
23/08/2020,101.714,67.13,31.51708064,26,27
24/08/2020,114.714,67.13,31.36087062,27,28
25/08/2020,100.286,67.13,31.47389234,27,28
26/08/2020,116.571,67.13,31.76544853,27,28
27/08/2020,111,67.13,32.03212557,27,28
28/08/2020,117.571,67.13,32.40980045,27,28
29/08/2020,116,67.13,32.81152333,27,28
30/08/2020,113,67.13,32.9259388,27,28
31/08/2020,99.286,67.13,33.10238418,28,38
01/09/2020,117.714,67.13,33.21377201,28,38
02/09/2020,107.286,67.13,33.4773885,28,38
03/09/2020,107.571,67.13,33.77973173,28,38
04/09/2020,103.571,67.13,33.96802589,28,38
05/09/2020,116.286,67.13,34.54686897,28,38
06/09/2020,130.286,67.13,35.03701101,28,38
07/09/2020,137.571,67.13,35.76086625,38,36
08/09/2020,150.714,67.13,35.78970548,38,36
09/09/2020,150,67.13,35.87920907,38,36
10/09/2020,164.857,67.13,36.16343111,38,36
11/09/2020,181.143,67.13,36.51180268,38,36
12/09/2020,170.857,67.13,36.9635455,38,36
13/09/2020,187.571,67.13,37.29713977,38,36
14/09/2020,202.571,67.13,37.77329513,34,44
15/09/2020,209.857,67.13,38.04599339,34,44
16/09/2020,233.571,67.13,38.64527147,34,44
17/09/2020,237.571,67.13,39.36955979,34,44
18/09/2020,242.857,60.65,40.17785682,34,44
19/09/2020,258.286,60.65,41.36206564,34,44
20/09/2020,278.286,60.65,42.23563166,34,44
21/09/2020,275.571,52.31,42.77060134,34,39
22/09/2020,270.714,52.31,42.97814337,34,39
23/09/2020,268,52.31,44.11383207,34,39
24/09/2020,281.571,52.31,45.0399116,34,39
25/09/2020,292,52.31,46.49162005,34,39
26/09/2020,288.857,52.31,48.2206792,34,39
27/09/2020,293.857,52.31,49.09803191,34,39
28/09/2020,322.286,52.31,50.17456152,47,46
29/09/2020,328,52.31,51.86812365,47,46
30/09/2020,354.286,52.31,54.19548714,47,46
01/10/2020,371.857,52.31,55.471825,47,46
02/10/2020,392.571,52.31,60.92752145,47,46
03/10/2020,444,52.31,65.04319907,47,46
04/10/2020,434.571,52.31,67.49115104,47,46
05/10/2020,453.143,52.31,70.86200445,46,52
06/10/2020,461.857,52.31,74.52522804,46,52
07/10/2020,489.857,55.09,79.12404046,46,52
08/10/2020,498.429,55.09,84.25713881,46,52
09/10/2020,520,55.09,90.29358213,46,52
10/10/2020,578,55.09,95.19785627,46,52
11/10/2020,642.286,55.09,101.0438334,46,52
12/10/2020,686,55.09,105.7010123,41,40
13/10/2020,740.857,55.09,110.2312509,41,40
14/10/2020,808.429,55.09,116.8303875,41,40
15/10/2020,906.143,55.09,120.6706576,41,40
16/10/2020,960.571,55.09,127.6509774,41,40
17/10/2020,994.857,55.09,132.985136,41,40
18/10/2020,1062,55.09,138.159018,41,40
19/10/2020,1091.714,55.09,142.1595849,22,34
20/10/2020,1156.714,55.09,146.6680543,22,34
21/10/2020,1168.429,81.48,151.8707131,22,34
22/10/2020,1149.571,81.48,157.044329,22,34
23/10/2020,1119.143,81.48,163.3886874,22,34
24/10/2020,1061.429,81.48,167.7764233,22,34
25/10/2020,1023.714,81.48,171.96995,22,34
26/10/2020,1010.571,81.48,175.1563807,16,27
27/10/2020,930.143,81.48,178.2862921,16,27
28/10/2020,858.857,81.48,182.0622527,16,27
29/10/2020,831.571,81.48,185.7030036,16,27
30/10/2020,828.286,81.48,187.8601492,16,27
31/10/2020,764,81.48,190.4681029,16,27
01/11/2020,696.286,81.48,193.2566597,16,27
02/11/2020,669,81.48,194.9418924,17,30
