date,areaName,areaCode,newCasesByPublishDate,cumCasesByPublishDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,newAntibodyTestsByPublishDate,newLFDTestsBySpecimenDate,newPCRTestsByPublishDate,newPCRTestsByPublishDateRollingSum,hospitalCases,newAdmissions,newPeopleVaccinatedCompleteByVaccinationDate,newVaccinesGivenByPublishDate,VaccineRegisterPopulationByVaccinationDate
10/03/2022,Northern Ireland,N92000002,2602,646794,,,,,,,,,,,
09/03/2022,Northern Ireland,N92000002,2683,644192,2,3244,,0,20295,118210,483,21,,1317,
08/03/2022,Northern Ireland,N92000002,2669,641509,4,3242,,0,19739,117337,506,37,,1037,
07/03/2022,Northern Ireland,N92000002,5769,638840,4,3238,,0,19464,115735,518,29,,1078,
06/03/2022,Northern Ireland,N92000002,0,633071,2,3234,,0,13711,117006,544,25,,903,
05/03/2022,Northern Ireland,N92000002,0,633071,3,3232,,0,11190,117253,538,31,,1092,
04/03/2022,Northern Ireland,N92000002,2236,633071,2,3229,,0,15035,118248,542,51,,2769,
03/03/2022,Northern Ireland,N92000002,2408,630835,3,3227,,0,18776,118187,556,47,,0,
02/03/2022,Northern Ireland,N92000002,2407,628427,6,3224,,0,19422,117707,565,43,,1673,
01/03/2022,Northern Ireland,N92000002,2567,626020,3,3218,,0,18137,119619,566,43,,1273,
28/02/2022,Northern Ireland,N92000002,5168,623453,3,3215,,0,20735,121260,573,35,,1268,
27/02/2022,Northern Ireland,N92000002,0,618285,5,3212,,0,13958,122727,603,24,,1325,
26/02/2022,Northern Ireland,N92000002,0,618285,0,3207,,0,12185,124783,604,38,,1347,
25/02/2022,Northern Ireland,N92000002,2068,618285,8,3207,,0,14974,126074,594,36,,1792,
24/02/2022,Northern Ireland,N92000002,2486,616217,1,3199,,0,18296,127097,631,33,,1577,
23/02/2022,Northern Ireland,N92000002,2294,613731,3,3198,,0,21334,128420,652,54,,1785,
22/02/2022,Northern Ireland,N92000002,2951,611437,4,3195,,0,19778,130474,656,27,,1628,
21/02/2022,Northern Ireland,N92000002,2235,608485,3,3191,,0,22202,132731,689,42,,1060,
20/02/2022,Northern Ireland,N92000002,1865,606250,5,3188,,0,16014,134001,693,42,,1156,
19/02/2022,Northern Ireland,N92000002,2147,604385,5,3183,,0,13476,135495,666,43,,1567,
18/02/2022,Northern Ireland,N92000002,2469,602238,7,3178,,0,15997,140480,653,35,,2002,
17/02/2022,Northern Ireland,N92000002,3027,599769,2,3171,,0,19619,147162,669,42,,2263,
16/02/2022,Northern Ireland,N92000002,2889,596742,4,3169,,0,23388,152351,671,43,,2619,
15/02/2022,Northern Ireland,N92000002,2987,593853,3,3165,,0,22035,158890,671,49,,2081,
14/02/2022,Northern Ireland,N92000002,2465,590866,4,3162,,0,23472,166084,665,36,,2271,
13/02/2022,Northern Ireland,N92000002,2158,588401,2,3158,,0,17508,171802,671,28,,1404,
