date,new_cases_smoothed
29/02/2020,
01/03/2020,
02/03/2020,
03/03/2020,
04/03/2020,
05/03/2020,
06/03/2020,2.571
07/03/2020,2.429
08/03/2020,2.571
09/03/2020,2.857
10/03/2020,4.571
11/03/2020,5.286
12/03/2020,5.286
13/03/2020,10.286
14/03/2020,15.857
15/03/2020,15.714
16/03/2020,21.143
17/03/2020,27
18/03/2020,35.571
19/03/2020,73.429
20/03/2020,84.714
21/03/2020,93.714
22/03/2020,111
23/03/2020,136.571
24/03/2020,158
25/03/2020,181.714
26/03/2020,180.286
27/03/2020,205.429
28/03/2020,232.857
29/03/2020,244.143
30/03/2020,255
31/03/2020,272.286
01/04/2020,269
02/04/2020,290
03/04/2020,307.429
04/04/2020,312.714
05/04/2020,339.857
06/04/2020,350.571
07/04/2020,353.429
08/04/2020,375.286
09/04/2020,389.286
10/04/2020,545.143
11/04/2020,617.714
12/04/2020,665.857
13/04/2020,754.714
14/04/2020,824.286
15/04/2020,924.714
16/04/2020,956.714
17/04/2020,841.571
18/04/2020,832.857
19/04/2020,799.429
20/04/2020,715
21/04/2020,651.571
22/04/2020,589.143
23/04/2020,619.429
24/04/2020,600.571
25/04/2020,543.286
26/04/2020,573
27/04/2020,570.857
28/04/2020,548.143
29/04/2020,511.714
30/04/2020,429.286
01/05/2020,378.429
02/05/2020,373.571
03/05/2020,320.571
04/05/2020,303.429
05/05/2020,300.857
06/05/2020,285
07/05/2020,253.286
08/05/2020,244
09/05/2020,226.286
10/05/2020,212.857
11/05/2020,194.714
12/05/2020,179.857
13/05/2020,164.714
14/05/2020,206
15/05/2020,202.143
16/05/2020,184
17/05/2020,159.429
18/05/2020,152.143
19/05/2020,144.143
20/05/2020,130.571
21/05/2020,80.571
22/05/2020,78.571
23/05/2020,76.286
24/05/2020,75.286
25/05/2020,71.143
26/05/2020,69.143
27/05/2020,69.714
28/05/2020,64.286
29/05/2020,52.857
30/05/2020,49.571
31/05/2020,50.143
01/06/2020,52
02/06/2020,47.286
03/06/2020,44
04/06/2020,43
05/06/2020,41
06/06/2020,36.286
07/06/2020,30.143
08/06/2020,20.714
09/06/2020,21.286
10/06/2020,17.143
11/06/2020,13.714
12/06/2020,12.429
13/06/2020,16
14/06/2020,14.571
15/06/2020,16.286
16/06/2020,17
17/06/2020,15.714
18/06/2020,16.714
19/06/2020,16.857
20/06/2020,11.286
21/06/2020,10.857
22/06/2020,8.857
23/06/2020,8.143
24/06/2020,7.857
25/06/2020,7.143
26/06/2020,6.571
27/06/2020,9
28/06/2020,8.571
29/06/2020,11.286
30/06/2020,11.714
01/07/2020,11.571
02/07/2020,12
03/07/2020,12
04/07/2020,10.286
05/07/2020,12.571
06/07/2020,9.857
07/07/2020,9.286
08/07/2020,9.286
09/07/2020,10.857
10/07/2020,13
11/07/2020,14.571
12/07/2020,14.429
13/07/2020,15.286
14/07/2020,18.857
15/07/2020,20.143
16/07/2020,19
17/07/2020,20.143
18/07/2020,19.857
19/07/2020,18.857
20/07/2020,18.286
21/07/2020,18.857
22/07/2020,19.429
23/07/2020,18.286
24/07/2020,16.429
25/07/2020,17
26/07/2020,17.286
27/07/2020,18
28/07/2020,18.143
29/07/2020,17.571
30/07/2020,28.714
31/07/2020,31.429
01/08/2020,34.286
02/08/2020,40.143
03/08/2020,45.143
04/08/2020,46.286
05/08/2020,51.571
06/08/2020,49.286
07/08/2020,57.857
08/08/2020,76.429
09/08/2020,78.571
10/08/2020,80
11/08/2020,78.286
12/08/2020,76.429
13/08/2020,79.571
14/08/2020,75
15/08/2020,78.143
16/08/2020,77.857
17/08/2020,77.857
18/08/2020,99.714
19/08/2020,101.286
20/08/2020,106.714
21/08/2020,108.571
22/08/2020,102.429
23/08/2020,101.714
24/08/2020,114.714
25/08/2020,100.286
26/08/2020,116.571
27/08/2020,111
28/08/2020,117.571
29/08/2020,116
30/08/2020,113
31/08/2020,99.286
01/09/2020,117.714
02/09/2020,107.286
03/09/2020,107.571
04/09/2020,103.571
05/09/2020,116.286
06/09/2020,130.286
07/09/2020,137.571
08/09/2020,150.714
09/09/2020,150
10/09/2020,164.857
11/09/2020,181.143
12/09/2020,170.857
13/09/2020,187.571
14/09/2020,202.571
15/09/2020,209.857
16/09/2020,233.571
17/09/2020,237.571
18/09/2020,242.857
19/09/2020,258.286
20/09/2020,278.286
21/09/2020,275.571
22/09/2020,270.714
23/09/2020,268
24/09/2020,281.571
25/09/2020,292
26/09/2020,288.857
27/09/2020,293.857
28/09/2020,322.286
29/09/2020,328
30/09/2020,354.286
01/10/2020,371.857
02/10/2020,392.571
03/10/2020,444
04/10/2020,434.571
05/10/2020,453.143
06/10/2020,461.857
07/10/2020,489.857
08/10/2020,498.429
09/10/2020,520
10/10/2020,578
11/10/2020,642.286
