X,Y,VaccinationDate,VaccineText,Dose1,Dose2,SingleDose,Dose1Cum,Dose2Cum,SingleDoseCum,PartiallyVacc,FullyVacc,PartialPercent,FullyPercent,ObjectId
-856336.314876336,7036491.65084485,2021/04/10 23:00:00+00,Sun 11 Apr 2021,2817,339,2,785479,335134,141,785620,335275,16.6837017592405,7.12001744778565,1
-856336.314876336,7036491.65084485,2021/04/11 23:00:00+00,Mon 12 Apr 2021,7715,2763,6,793194,337897,147,793341,338044,16.8476676222317,7.17882090260012,2
-856336.314876336,7036491.65084485,2021/04/12 23:00:00+00,Tue 13 Apr 2021,11445,8566,1,804639,346463,148,804787,346611,17.0907388912119,7.36075271819979,3
-856336.314876336,7036491.65084485,2021/04/13 23:00:00+00,Wed 14 Apr 2021,20297,6564,2,824936,353027,150,825086,353177,17.5218155720638,7.50019059624664,4
-856336.314876336,7036491.65084485,2021/04/14 23:00:00+00,Thu 15 Apr 2021,27059,10764,1,851995,363791,151,852146,363942,18.0964712193297,7.72879991046755,5
-856336.314876336,7036491.65084485,2021/04/15 23:00:00+00,Fri 16 Apr 2021,27913,9799,1,879908,373590,152,880060,373742,18.6892627100089,7.93691614635838,6
-856336.314876336,7036491.65084485,2021/04/16 23:00:00+00,Sat 17 Apr 2021,15799,4525,1,895707,378115,153,895860,378268,19.0247970495064,8.03303186917898,7
-856336.314876336,7036491.65084485,2021/04/17 23:00:00+00,Sun 18 Apr 2021,1034,456,0,896741,378571,153,896894,378724,19.0467554360279,8.04271564505309,8
-856336.314876336,7036491.65084485,2021/04/18 23:00:00+00,Mon 19 Apr 2021,6694,2221,0,903435,380792,153,903588,380945,19.1889115669517,8.08988157973814,9
-856336.314876336,7036491.65084485,2021/04/19 23:00:00+00,Tue 20 Apr 2021,15018,7266,1,918453,388058,154,918607,388212,19.5078603166297,8.24420613955638,10
-856336.314876336,7036491.65084485,2021/04/20 23:00:00+00,Wed 21 Apr 2021,26638,9825,2,945091,397883,156,945247,398039,20.0735966966432,8.45289575691344,11
-856336.314876336,7036491.65084485,2021/04/21 23:00:00+00,Thu 22 Apr 2021,31566,12147,0,976657,410030,156,976813,410186,20.7439433397177,8.71085370766507,12
-856336.314876336,7036491.65084485,2021/04/22 23:00:00+00,Fri 23 Apr 2021,33530,12338,0,1010187,422368,156,1010343,422524,21.4559981753728,8.97286780138151,13
-856336.314876336,7036491.65084485,2021/04/23 23:00:00+00,Sat 24 Apr 2021,23621,6968,0,1033808,429336,156,1033964,429492,21.9576220129215,9.12084269237001,14
-856336.314876336,7036491.65084485,2021/04/24 23:00:00+00,Sun 25 Apr 2021,9703,275,2,1043511,429611,158,1043669,429769,22.1637207955052,9.12672516148652,15
-856336.314876336,7036491.65084485,2021/04/25 23:00:00+00,Mon 26 Apr 2021,15514,3010,1,1059025,432621,159,1059184,432780,22.4932027750814,9.19066781314645,16
-856336.314876336,7036491.65084485,2021/04/26 23:00:00+00,Tue 27 Apr 2021,25854,7766,5,1084879,440387,164,1085043,440551,23.0423535652753,9.35569549366764,17
-856336.314876336,7036491.65084485,2021/04/27 23:00:00+00,Wed 28 Apr 2021,25968,8554,4,1110847,448941,168,1111015,449109,23.5939040630873,9.5374361821119,18
-856336.314876336,7036491.65084485,2021/04/28 23:00:00+00,Thu 29 Apr 2021,31632,11297,2,1142479,460238,170,1142649,460408,24.2656947780026,9.77738570755379,19
-856336.314876336,7036491.65084485,2021/04/29 23:00:00+00,Fri 30 Apr 2021,36044,13489,4,1178523,473727,174,1178697,473901,25.0312227444713,10.0639277862145,20
-856336.314876336,7036491.65084485,2021/04/30 23:00:00+00,Sat 01 May 2021,16484,6649,12,1195007,480376,186,1195193,480562,25.3815375839871,10.2053831175685,21
-856336.314876336,7036491.65084485,2021/05/01 23:00:00+00,Sun 02 May 2021,12383,887,8,1207390,481263,194,1207584,481457,25.6446772042854,10.2243896513565,22
-856336.314876336,7036491.65084485,2021/05/02 23:00:00+00,Mon 03 May 2021,14188,893,12,1221578,482156,206,1221784,482362,25.9462333828211,10.2436085486505,23
-856336.314876336,7036491.65084485,2021/05/03 23:00:00+00,Tue 04 May 2021,26559,6746,6,1248137,488902,212,1248349,489114,26.5103770365395,10.3869963879091,24
-856336.314876336,7036491.65084485,2021/05/04 23:00:00+00,Wed 05 May 2021,31995,13396,66,1280132,502298,278,1280410,502576,27.1912356731615,10.6728801397012,25
-856336.314876336,7036491.65084485,2021/05/05 23:00:00+00,Thu 06 May 2021,37191,14337,126,1317323,516635,404,1317727,517039,27.983712568543,10.980021478445,26
-856336.314876336,7036491.65084485,2021/05/06 23:00:00+00,Fri 07 May 2021,40492,15026,90,1357815,531661,494,1358309,532155,28.845526148637,11.3010301541313,27
-856336.314876336,7036491.65084485,2021/05/07 23:00:00+00,Sat 08 May 2021,25529,7000,9,1383344,538661,503,1383847,539164,29.3878600702881,11.4498757354945,28
-856336.314876336,7036491.65084485,2021/05/08 23:00:00+00,Sun 09 May 2021,19613,897,1,1402957,539558,504,1403461,540062,29.8043898509782,11.4689459783343,29
-856336.314876336,7036491.65084485,2021/05/09 23:00:00+00,Mon 10 May 2021,28730,4588,167,1431687,544146,671,1432358,544817,30.4180566742983,11.5699248254425,30
-856336.314876336,7036491.65084485,2021/05/10 23:00:00+00,Tue 11 May 2021,33838,14769,147,1465525,558915,818,1466343,559733,31.1397740494769,11.8866862310086,31
-856336.314876336,7036491.65084485,2021/05/11 23:00:00+00,Wed 12 May 2021,31180,20892,154,1496705,579807,972,1497677,580779,31.8051938592119,12.3336264657595,32
-856336.314876336,7036491.65084485,2021/05/12 23:00:00+00,Thu 13 May 2021,35891,25437,144,1532596,605244,1116,1533712,606360,32.5704457531227,12.8768735504863,33
-856336.314876336,7036491.65084485,2021/05/13 23:00:00+00,Fri 14 May 2021,38099,27925,228,1570695,633169,1344,1572039,634513,33.3843713626113,13.4747405289593,34
-856336.314876336,7036491.65084485,2021/05/14 23:00:00+00,Sat 15 May 2021,28748,12409,8,1599443,645578,1352,1600795,646930,33.9950438604967,13.7384322943732,35
-856336.314876336,7036491.65084485,2021/05/15 23:00:00+00,Sun 16 May 2021,23092,1139,5,1622535,646717,1357,1623892,648074,34.4855398503304,13.7627266794609,36
-856336.314876336,7036491.65084485,2021/05/16 23:00:00+00,Mon 17 May 2021,35305,3904,110,1657840,650621,1467,1659307,652088,35.2376252068686,13.8479693907737,37
-856336.314876336,7036491.65084485,2021/05/17 23:00:00+00,Tue 18 May 2021,38954,12439,118,1696794,663060,1585,1698379,664645,36.067371897555,14.1146342452718,38
-856336.314876336,7036491.65084485,2021/05/18 23:00:00+00,Wed 19 May 2021,36918,17551,197,1733712,680611,1782,1735494,682393,36.855559050115,14.4915369957402,39
-856336.314876336,7036491.65084485,2021/05/19 23:00:00+00,Thu 20 May 2021,38966,19628,120,1772678,700239,1902,1774580,702141,37.6856030497098,14.9109124474108,40
-856336.314876336,7036491.65084485,2021/11/05 00:00:00+00,Fri 05 Nov 2021,1628,1018,1,3609166,3543495,238496,3847662,3781991,81.7102992265509,80.3156868462257,41
-856336.314876336,7036491.65084485,2021/05/20 23:00:00+00,Fri 21 May 2021,25727,23188,14920,1798405,723427,16822,1815227,740249,38.548796992593,15.7201872961178,42
-856336.314876336,7036491.65084485,2021/05/21 23:00:00+00,Sat 22 May 2021,16507,10225,13508,1814912,733652,30330,1845242,763982,39.1862060558852,16.2241896049338,43
-856336.314876336,7036491.65084485,2021/11/06 00:00:00+00,Sat 06 Nov 2021,1820,1322,5,3610986,3544817,238501,3849487,3783318,81.7490555663979,80.3438674834733,44
-856336.314876336,7036491.65084485,2021/05/22 23:00:00+00,Sun 23 May 2021,8147,5503,10200,1823059,739155,40530,1863589,779685,39.5758293803636,16.557664018423,45
-856336.314876336,7036491.65084485,2021/11/07 00:00:00+00,Sun 07 Nov 2021,726,765,0,3611712,3545582,238501,3850213,3784083,81.7644731569343,80.3601132916832,46
-856336.314876336,7036491.65084485,2021/05/23 23:00:00+00,Mon 24 May 2021,22431,8170,8438,1845490,747325,48968,1894458,796293,40.2313742870692,16.9103573292061,47
-856336.314876336,7036491.65084485,2021/11/08 00:00:00+00,Mon 08 Nov 2021,509,493,1,3612221,3546075,238502,3850723,3784577,81.7753036957409,80.3706040488801,48
-856336.314876336,7036491.65084485,2021/05/24 23:00:00+00,Tue 25 May 2021,30199,16452,3215,1875689,763777,52183,1927872,815960,40.9409657060545,17.3280126364781,49
-856336.314876336,7036491.65084485,2021/11/09 00:00:00+00,Tue 09 Nov 2021,1382,1000,1,3613603,3547075,238503,3852106,3785578,81.8046735686222,80.3918616358318,50
-856336.314876336,7036491.65084485,2021/11/10 00:00:00+00,Wed 10 Nov 2021,1627,1301,0,3615230,3548376,238503,3853733,3786879,81.8392251110502,80.4194901279639,51
-856336.314876336,7036491.65084485,2021/11/11 00:00:00+00,Thu 11 Nov 2021,1399,1055,1,3616629,3549431,238504,3855133,3787935,81.8689560018917,80.4419157141986,52
