Category: All categories

Week,covid: (Ireland),COVID-19 testing: (Ireland),COVID-19 rapid antigen test: (Ireland),Health Service Executive: (Ireland),Vaccination: (Ireland)
2020-03-15,50,2,0,13,<1
2020-03-22,56,2,0,10,<1
2020-03-29,47,1,0,5,<1
2020-04-05,37,1,0,4,<1
2020-04-12,31,1,0,5,<1
2020-04-19,26,1,0,4,<1
2020-04-26,27,1,0,3,<1
2020-05-03,24,1,0,3,<1
2020-05-10,26,<1,0,3,<1
2020-05-17,23,1,0,3,<1
2020-05-24,20,<1,0,3,<1
2020-05-31,20,<1,0,3,<1
2020-06-07,18,<1,0,3,<1
2020-06-14,16,<1,0,3,<1
2020-06-21,17,<1,0,3,<1
2020-06-28,22,1,0,3,<1
2020-07-05,26,1,0,4,<1
2020-07-12,25,1,0,3,<1
2020-07-19,21,1,0,3,<1
2020-07-26,22,1,0,3,<1
2020-08-02,30,1,0,3,<1
2020-08-09,31,1,0,3,<1
2020-08-16,35,1,0,3,<1
2020-08-23,26,1,0,3,<1
2020-08-30,27,2,0,4,<1
2020-09-06,28,2,0,4,<1
2020-09-13,38,2,0,4,<1
2020-09-20,34,2,0,4,<1
2020-09-27,34,2,0,4,<1
2020-10-04,47,2,0,4,<1
2020-10-11,46,2,0,4,<1
2020-10-18,41,2,0,4,<1
2020-10-25,22,1,0,3,<1
2020-11-01,16,1,0,3,<1
2020-11-08,17,1,0,3,<1
2020-11-15,17,1,0,3,<1
2020-11-22,16,1,0,3,<1
2020-11-29,17,2,0,3,<1
2020-12-06,16,2,0,3,<1
2020-12-13,26,3,0,3,<1
2020-12-20,43,5,0,3,<1
2020-12-27,56,5,0,4,<1
2021-01-03,65,5,0,5,<1
2021-01-10,44,3,0,4,<1
2021-01-17,34,2,0,3,<1
2021-01-24,31,2,0,3,<1
2021-01-31,23,1,0,3,<1
2021-02-07,20,1,0,3,<1
2021-02-14,22,1,0,4,<1
2021-02-21,24,1,0,4,<1
2021-02-28,19,1,0,4,<1
2021-03-07,18,1,0,4,<1
2021-03-14,18,2,0,3,<1
2021-03-21,26,2,0,4,<1
2021-03-28,26,2,0,4,<1
2021-04-04,23,2,0,4,<1
2021-04-11,26,2,0,8,<1
2021-04-18,27,2,0,9,<1
2021-04-25,31,2,0,8,<1
2021-05-02,29,3,0,10,<1
2021-05-09,26,3,0,10,<1
2021-05-16,26,3,0,13,<1
2021-05-23,25,3,0,10,<1
2021-05-30,24,4,0,9,<1
2021-06-06,19,3,0,6,<1
2021-06-13,21,3,0,9,<1
2021-06-20,26,3,0,8,<1
2021-06-27,31,4,0,9,<1
2021-07-04,31,4,0,10,<1
2021-07-11,37,5,0,10,<1
2021-07-18,39,5,0,9,<1
2021-07-25,36,5,0,7,<1
2021-08-01,30,4,0,6,<1
2021-08-08,31,5,0,7,<1
2021-08-15,29,4,0,6,<1
2021-08-22,23,4,0,5,<1
2021-08-29,27,4,0,5,<1
2021-09-05,19,5,0,5,<1
2021-09-12,20,6,0,5,<1
2021-09-19,17,5,0,5,<1
2021-09-26,15,4,0,5,<1
2021-10-03,15,4,0,5,<1
2021-10-10,17,4,0,5,<1
2021-10-17,26,5,0,5,<1
2021-10-24,23,5,0,5,<1
2021-10-31,28,7,0,6,<1
2021-11-07,32,8,0,6,<1
2021-11-14,47,11,0,8,<1
2021-11-21,46,13,0,9,<1
2021-11-28,46,13,0,9,<1
2021-12-05,34,9,0,9,<1
2021-12-12,46,8,0,10,<1
2021-12-19,64,19,0,14,<1
2021-12-26,100,53,0,23,<1
2022-01-02,74,24,0,20,<1
2022-01-09,39,7,0,12,<1
2022-01-16,34,4,0,8,<1
2022-01-23,21,3,0,8,<1
2022-01-30,19,3,0,8,<1
2022-02-06,17,3,0,7,<1
2022-02-13,16,3,0,5,<1
