Category: All categories

Week,book covid test: (Ireland),how many covid cases today: (Ireland),pcr covid test: (Ireland),close contact covid: (Ireland),book a covid test: (Ireland)
2020-03-15,<1,2,<1,<1,<1
2020-03-22,<1,2,0,<1,0
2020-03-29,<1,1,<1,<1,<1
2020-04-05,0,1,<1,<1,0
2020-04-12,0,1,<1,<1,0
2020-04-19,0,<1,<1,<1,0
2020-04-26,0,<1,0,<1,0
2020-05-03,<1,<1,<1,<1,<1
2020-05-10,<1,1,<1,<1,<1
2020-05-17,<1,1,<1,<1,0
2020-05-24,<1,1,0,0,<1
2020-05-31,0,1,<1,<1,0
2020-06-07,<1,1,<1,<1,0
2020-06-14,<1,1,<1,<1,0
2020-06-21,<1,1,<1,<1,0
2020-06-28,<1,1,<1,<1,<1
2020-07-05,<1,1,<1,<1,<1
2020-07-12,<1,2,<1,<1,<1
2020-07-19,<1,2,<1,<1,<1
2020-07-26,<1,4,<1,<1,<1
2020-08-02,<1,6,<1,1,<1
2020-08-09,<1,5,<1,<1,<1
2020-08-16,<1,6,<1,1,<1
2020-08-23,<1,4,<1,1,<1
2020-08-30,<1,4,<1,1,<1
2020-09-06,<1,4,<1,1,<1
2020-09-13,<1,5,<1,1,<1
2020-09-20,1,6,<1,2,<1
2020-09-27,<1,7,<1,2,<1
2020-10-04,1,11,1,3,<1
2020-10-11,1,10,1,4,1
2020-10-18,1,5,1,3,<1
2020-10-25,<1,4,<1,1,<1
2020-11-01,<1,3,1,1,<1
2020-11-08,<1,3,1,1,<1
2020-11-15,<1,3,1,1,<1
2020-11-22,<1,3,1,1,<1
2020-11-29,1,3,1,1,<1
2020-12-06,<1,2,1,1,<1
2020-12-13,1,4,1,2,1
2020-12-20,3,5,3,5,1
2020-12-27,3,10,1,8,1
2021-01-03,2,13,2,7,1
2021-01-10,1,8,2,3,<1
2021-01-17,1,5,2,2,1
2021-01-24,1,7,1,1,<1
2021-01-31,<1,4,1,1,<1
2021-02-07,<1,4,1,1,<1
2021-02-14,1,3,1,1,<1
2021-02-21,<1,4,1,1,<1
2021-02-28,<1,3,1,1,<1
2021-03-07,<1,4,1,1,<1
2021-03-14,1,3,1,1,1
2021-03-21,1,5,1,1,<1
2021-03-28,1,4,2,2,1
2021-04-04,1,4,1,1,<1
2021-04-11,1,3,1,1,<1
2021-04-18,1,3,2,1,<1
2021-04-25,1,2,2,1,<1
2021-05-02,1,3,2,1,1
2021-05-09,1,2,2,1,1
2021-05-16,1,2,2,1,<1
2021-05-23,1,2,3,2,1
2021-05-30,1,2,3,2,<1
2021-06-06,1,2,3,1,<1
2021-06-13,1,2,3,1,1
2021-06-20,1,2,3,1,1
2021-06-27,2,3,3,2,1
2021-07-04,3,2,5,4,2
2021-07-11,4,4,5,4,2
2021-07-18,4,3,6,5,2
2021-07-25,3,2,4,4,2
2021-08-01,4,2,3,4,2
2021-08-08,3,2,4,5,1
2021-08-15,3,2,3,5,2
2021-08-22,5,2,3,4,2
2021-08-29,3,1,3,3,2
2021-09-05,7,1,3,4,4
2021-09-12,11,1,3,4,7
2021-09-19,10,1,3,2,5
2021-09-26,7,1,2,2,4
2021-10-03,5,1,2,2,3
2021-10-10,8,1,2,3,5
2021-10-17,10,1,3,4,7
2021-10-24,9,2,3,4,5
2021-10-31,14,2,4,5,9
2021-11-07,16,2,5,7,9
2021-11-14,24,3,7,8,14
2021-11-21,30,3,10,6,17
2021-11-28,23,2,15,6,15
2021-12-05,14,2,10,5,9
2021-12-12,14,3,10,9,9
2021-12-19,36,4,27,18,24
2021-12-26,100,9,50,26,74
2022-01-02,48,7,30,17,34
2022-01-09,13,3,9,10,9
2022-01-16,6,2,5,7,4
2022-01-23,7,2,6,6,5
2022-01-30,5,1,5,8,4
2022-02-06,5,1,5,6,3
2022-02-13,3,1,5,7,3
