Category: All categories,,,,,
,,,,,
Week,vaccination centre: (Ireland),pharmacy near me: (Ireland),Treatment and management of COVID-19: (Ireland),Hand sanitizer: (Ireland),Face mask: (Ireland)
15/03/2020,0,4,1,68,18
22/03/2020,0,4,2,38,18
29/03/2020,0,3,1,19,26
05/04/2020,0,2,1,11,16
12/04/2020,0,2,1,9,22
19/04/2020,0,2,1,11,24
26/04/2020,0,2,1,10,47
03/05/2020,0,2,1,10,35
10/05/2020,0,2,<1,13,76
17/05/2020,<1,2,1,14,51
24/05/2020,0,2,1,7,25
31/05/2020,0,3,<1,9,27
07/06/2020,0,2,<1,11,35
14/06/2020,0,2,1,8,29
21/06/2020,<1,3,<1,8,32
28/06/2020,0,4,<1,10,45
05/07/2020,<1,3,1,8,33
12/07/2020,<1,2,<1,8,100
19/07/2020,<1,2,<1,7,87
26/07/2020,0,4,1,8,43
02/08/2020,0,4,<1,5,45
09/08/2020,0,3,<1,11,50
16/08/2020,0,3,1,10,41
23/08/2020,<1,3,1,10,37
30/08/2020,0,4,<1,8,33
06/09/2020,0,4,<1,6,27
13/09/2020,0,4,<1,7,24
20/09/2020,<1,4,<1,8,22
27/09/2020,<1,3,<1,6,17
04/10/2020,<1,4,1,5,21
11/10/2020,0,3,<1,7,20
18/10/2020,<1,3,<1,31,16
25/10/2020,0,4,<1,13,15
01/11/2020,<1,2,<1,6,14
08/11/2020,<1,3,<1,4,12
15/11/2020,0,2,<1,3,13
22/11/2020,0,3,<1,4,12
29/11/2020,0,3,<1,4,11
06/12/2020,<1,3,0,3,10
13/12/2020,0,4,<1,2,9
20/12/2020,0,5,1,3,8
27/12/2020,<1,5,1,2,10
03/01/2021,<1,3,1,3,11
10/01/2021,<1,3,<1,4,11
17/01/2021,<1,2,<1,3,12
24/01/2021,<1,3,<1,2,12
31/01/2021,<1,2,<1,2,9
07/02/2021,<1,4,<1,2,10
14/02/2021,2,4,<1,2,10
21/02/2021,1,3,<1,2,7
28/02/2021,2,3,<1,2,9
07/03/2021,1,2,<1,4,8
14/03/2021,1,4,<1,2,7
21/03/2021,3,3,<1,2,8
28/03/2021,4,3,<1,1,8
04/04/2021,4,5,<1,2,5
11/04/2021,3,4,<1,4,7
18/04/2021,8,3,0,4,6
25/04/2021,7,4,<1,3,6
02/05/2021,8,4,<1,3,6
09/05/2021,7,3,<1,2,6
16/05/2021,9,3,<1,3,6
23/05/2021,8,3,0,2,5
30/05/2021,7,4,0,2,5
06/06/2021,8,6,0,1,7
13/06/2021,9,7,0,2,5
20/06/2021,10,7,<1,1,7
27/06/2021,10,11,<1,1,5
04/07/2021,10,10,0,2,6
11/07/2021,13,8,<1,2,4
18/07/2021,16,8,<1,1,4
25/07/2021,25,6,<1,2,5
01/08/2021,20,7,<1,1,5
08/08/2021,13,5,<1,2,6
15/08/2021,14,6,<1,2,6
22/08/2021,15,6,1,2,7
29/08/2021,12,6,<1,2,7
05/09/2021,11,5,<1,2,5
12/09/2021,8,6,<1,1,6
19/09/2021,5,6,<1,2,6
26/09/2021,5,6,<1,2,4
03/10/2021,4,6,<1,2,5
10/10/2021,4,6,<1,2,6
17/10/2021,7,6,<1,2,6
24/10/2021,6,8,1,1,5
31/10/2021,6,7,<1,2,6
07/11/2021,11,6,1,2,4
14/11/2021,11,7,<1,2,6
21/11/2021,14,7,1,2,7
28/11/2021,16,6,<1,1,16
05/12/2021,18,7,<1,2,6
12/12/2021,25,10,<1,2,6
19/12/2021,23,12,1,2,4
26/12/2021,13,13,1,2,6
02/01/2022,11,8,1,2,8
09/01/2022,9,5,1,3,10
16/01/2022,4,7,<1,2,8
23/01/2022,4,6,<1,2,6
30/01/2022,3,6,<1,2,5
06/02/2022,3,5,<1,2,5
13/02/2022,4,9,0,0,3
