Category: All categories

Week,book covid test: (Ireland),covid test dublin: (Ireland),covid test centre: (Ireland),hse covid vaccine: (Ireland),hse vaccine portal: (Ireland)
2020-03-15,<1,1,2,<1,0
2020-03-22,<1,1,1,0,0
2020-03-29,<1,<1,1,0,0
2020-04-05,0,<1,<1,0,0
2020-04-12,0,<1,<1,<1,0
2020-04-19,0,<1,<1,0,0
2020-04-26,0,<1,<1,0,0
2020-05-03,<1,<1,<1,<1,0
2020-05-10,<1,<1,<1,<1,0
2020-05-17,<1,<1,<1,0,0
2020-05-24,<1,<1,<1,0,0
2020-05-31,0,<1,<1,0,0
2020-06-07,<1,<1,<1,0,0
2020-06-14,<1,<1,<1,0,0
2020-06-21,<1,<1,<1,0,0
2020-06-28,<1,<1,<1,0,0
2020-07-05,<1,<1,<1,0,0
2020-07-12,<1,<1,<1,<1,0
2020-07-19,<1,1,1,<1,0
2020-07-26,<1,1,1,0,0
2020-08-02,<1,1,1,<1,0
2020-08-09,<1,1,2,<1,0
2020-08-16,<1,1,1,0,0
2020-08-23,<1,1,1,<1,0
2020-08-30,<1,1,2,0,0
2020-09-06,<1,1,2,0,0
2020-09-13,<1,2,2,<1,0
2020-09-20,1,1,2,<1,0
2020-09-27,<1,1,1,0,0
2020-10-04,1,1,2,<1,0
2020-10-11,1,1,2,0,0
2020-10-18,1,1,2,<1,0
2020-10-25,<1,1,1,<1,0
2020-11-01,<1,1,1,<1,0
2020-11-08,<1,2,1,<1,0
2020-11-15,<1,2,1,0,0
2020-11-22,<1,3,1,<1,0
2020-11-29,1,4,2,0,0
2020-12-06,<1,3,1,<1,0
2020-12-13,1,5,2,1,0
2020-12-20,3,9,5,<1,0
2020-12-27,3,6,4,1,0
2021-01-03,2,5,3,3,0
2021-01-10,1,5,3,2,<1
2021-01-17,1,3,2,1,<1
2021-01-24,1,3,1,<1,<1
2021-01-31,<1,2,1,1,<1
2021-02-07,<1,2,1,2,1
2021-02-14,1,2,1,2,1
2021-02-21,<1,2,1,2,<1
2021-02-28,<1,2,1,1,1
2021-03-07,<1,2,1,2,1
2021-03-14,1,3,1,1,<1
2021-03-21,1,3,3,1,<1
2021-03-28,1,3,3,3,1
2021-04-04,1,3,3,2,1
2021-04-11,1,2,3,8,16
2021-04-18,1,3,3,9,12
2021-04-25,1,3,4,8,8
2021-05-02,1,4,5,12,14
2021-05-09,1,4,3,10,7
2021-05-16,1,3,5,10,12
2021-05-23,1,4,5,9,6
2021-05-30,1,5,5,8,8
2021-06-06,1,4,4,5,5
2021-06-13,1,4,4,8,8
2021-06-20,1,4,5,7,6
2021-06-27,2,5,6,10,7
2021-07-04,3,6,6,10,8
2021-07-11,4,6,6,9,12
2021-07-18,4,6,7,8,11
2021-07-25,3,6,7,7,8
2021-08-01,4,6,8,4,4
2021-08-08,3,5,7,5,7
2021-08-15,3,5,6,4,3
2021-08-22,5,4,7,3,2
2021-08-29,3,5,6,2,1
2021-09-05,7,6,9,2,1
2021-09-12,11,7,9,2,<1
2021-09-19,10,6,7,1,<1
2021-09-26,7,4,6,1,<1
2021-10-03,5,4,6,2,<1
2021-10-10,8,5,6,1,<1
2021-10-17,10,5,7,1,<1
2021-10-24,9,5,6,1,<1
2021-10-31,14,9,9,2,<1
2021-11-07,16,10,10,2,<1
2021-11-14,24,11,11,3,<1
2021-11-21,30,12,11,3,1
2021-11-28,23,12,8,2,<1
2021-12-05,14,9,8,3,1
2021-12-12,14,9,7,4,1
2021-12-19,36,19,13,3,<1
2021-12-26,100,26,18,4,1
2022-01-02,48,13,8,5,2
2022-01-09,13,4,4,3,1
2022-01-16,6,2,1,1,1
2022-01-23,7,3,1,1,1
2022-01-30,5,3,1,1,<1
2022-02-06,5,3,1,1,<1
2022-02-13,3,3,2,1,0
