Category: All categories

Week,hse portal vaccine: (Ireland),pcr test hse: (Ireland),hse covid test: (Ireland),hse vaccine registration: (Ireland),how long will it take to vaccinate ireland: (Ireland)
2020-03-15,0,0,2,0,0
2020-03-22,0,0,1,0,0
2020-03-29,0,0,1,0,0
2020-04-05,0,0,<1,0,0
2020-04-12,0,0,<1,0,0
2020-04-19,0,0,<1,0,0
2020-04-26,0,0,<1,0,0
2020-05-03,0,<1,<1,0,0
2020-05-10,0,0,<1,0,0
2020-05-17,0,0,<1,0,0
2020-05-24,0,0,<1,0,0
2020-05-31,0,0,<1,0,0
2020-06-07,0,0,<1,0,0
2020-06-14,0,0,<1,0,0
2020-06-21,0,0,<1,0,0
2020-06-28,0,0,<1,0,0
2020-07-05,0,0,<1,0,0
2020-07-12,0,0,<1,0,0
2020-07-19,0,0,<1,0,0
2020-07-26,0,0,<1,0,0
2020-08-02,0,0,<1,0,0
2020-08-09,0,0,<1,0,0
2020-08-16,0,0,1,0,0
2020-08-23,0,0,1,0,0
2020-08-30,0,<1,1,0,0
2020-09-06,0,0,1,0,0
2020-09-13,0,0,1,0,0
2020-09-20,0,0,1,0,0
2020-09-27,0,0,1,0,0
2020-10-04,0,<1,1,0,0
2020-10-11,0,<1,1,0,0
2020-10-18,0,0,1,0,0
2020-10-25,0,<1,1,0,0
2020-11-01,0,0,<1,0,0
2020-11-08,0,0,<1,0,0
2020-11-15,0,<1,<1,0,0
2020-11-22,0,<1,1,0,0
2020-11-29,0,<1,1,0,0
2020-12-06,0,<1,1,0,0
2020-12-13,0,<1,1,0,0
2020-12-20,0,<1,3,0,<1
2020-12-27,0,<1,4,0,<1
2021-01-03,0,<1,2,<1,<1
2021-01-10,<1,<1,1,0,0
2021-01-17,<1,<1,1,<1,<1
2021-01-24,<1,<1,1,<1,<1
2021-01-31,<1,<1,1,<1,0
2021-02-07,1,<1,<1,<1,0
2021-02-14,1,<1,1,<1,<1
2021-02-21,1,0,1,<1,<1
2021-02-28,1,0,<1,<1,0
2021-03-07,1,0,<1,<1,0
2021-03-14,<1,<1,1,<1,0
2021-03-21,<1,<1,1,1,0
2021-03-28,1,0,1,<1,<1
2021-04-04,2,<1,1,<1,0
2021-04-11,20,<1,1,9,<1
2021-04-18,15,<1,1,12,<1
2021-04-25,10,0,1,8,0
2021-05-02,18,<1,1,13,0
2021-05-09,8,<1,2,12,0
2021-05-16,14,<1,1,12,0
2021-05-23,8,<1,2,10,0
2021-05-30,10,<1,2,11,0
2021-06-06,6,<1,1,6,0
2021-06-13,9,<1,2,13,0
2021-06-20,7,<1,2,7,0
2021-06-27,8,1,3,6,0
2021-07-04,9,1,4,11,0
2021-07-11,15,1,5,8,0
2021-07-18,13,1,5,5,0
2021-07-25,10,1,4,4,0
2021-08-01,5,1,4,1,0
2021-08-08,8,<1,4,4,0
2021-08-15,3,1,5,2,0
2021-08-22,2,1,5,1,0
2021-08-29,1,1,4,<1,0
2021-09-05,1,1,8,<1,0
2021-09-12,<1,1,10,<1,0
2021-09-19,<1,1,9,<1,0
2021-09-26,<1,1,7,<1,0
2021-10-03,<1,1,7,<1,0
2021-10-10,<1,1,8,<1,0
2021-10-17,<1,1,10,<1,0
2021-10-24,<1,<1,12,<1,0
2021-10-31,<1,2,14,<1,0
2021-11-07,<1,2,17,<1,0
2021-11-14,<1,4,26,<1,0
2021-11-21,1,8,30,<1,0
2021-11-28,<1,6,27,<1,0
2021-12-05,1,4,15,<1,0
2021-12-12,1,4,16,1,0
2021-12-19,<1,22,46,1,0
2021-12-26,1,73,100,1,0
2022-01-02,2,44,54,1,0
2022-01-09,1,12,16,1,0
2022-01-16,1,6,10,<1,0
2022-01-23,1,5,9,<1,0
2022-01-30,<1,6,7,<1,0
2022-02-06,<1,5,7,0,0
2022-02-13,0,3,4,<1,0
