X,Y,ExtractDate,VaccinationDate,VaccineText,AdditionalDose,ImmunoDose,AdditionalDoseCum,ImmunoDoseCum,PerBoosterDose,ObjectId
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/09/26 23:00:00+00,Mon 27 Sep 2021,254,47,254,47,0.00639214153093276,1
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/09/27 23:00:00+00,Tue 28 Sep 2021,506,17,760,64,0.0174987528953109,2
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/09/28 23:00:00+00,Wed 29 Sep 2021,649,28,1409,92,0.0318757622522594,3
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/09/29 23:00:00+00,Thu 30 Sep 2021,1576,154,2985,246,0.0686146487921719,4
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/09/30 23:00:00+00,Fri 01 Oct 2021,2496,255,5481,501,0.127035849295813,5
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/01 23:00:00+00,Sat 02 Oct 2021,1022,229,6503,730,0.153602523897796,6
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/02 23:00:00+00,Sun 03 Oct 2021,37,1162,6540,1892,0.179064908268522,7
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/03 23:00:00+00,Mon 04 Oct 2021,4291,547,10831,2439,0.28180637247667,8
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/04 23:00:00+00,Tue 05 Oct 2021,8303,460,19134,2899,0.467900512794158,9
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/05 23:00:00+00,Wed 06 Oct 2021,10823,1575,29957,4474,0.731188787546664,10
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/06 23:00:00+00,Thu 07 Oct 2021,10642,1353,40599,5827,0.985918813006925,11
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/07 23:00:00+00,Fri 08 Oct 2021,10731,1640,51330,7467,1.2486337062932,12
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/08 23:00:00+00,Sat 09 Oct 2021,4912,1629,56242,9096,1.38754067557503,13
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/09 23:00:00+00,Sun 10 Oct 2021,735,571,56977,9667,1.41527534946008,14
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/10 23:00:00+00,Mon 11 Oct 2021,5685,991,62662,10658,1.55704922607306,15
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/11 23:00:00+00,Tue 12 Oct 2021,9613,1018,72275,11676,1.78279163296281,16
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/12 23:00:00+00,Wed 13 Oct 2021,10774,1217,83049,12893,2.03743671302066,17
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/13 23:00:00+00,Thu 14 Oct 2021,12493,1741,95542,14634,2.3397149274768,18
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/14 23:00:00+00,Fri 15 Oct 2021,8439,2617,103981,17251,2.57450401972262,19
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/15 23:00:00+00,Sat 16 Oct 2021,4993,2893,108974,20144,2.74197388056294,20
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/16 23:00:00+00,Sun 17 Oct 2021,568,1124,109542,21268,2.77790578578001,21
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/17 23:00:00+00,Mon 18 Oct 2021,3931,1090,113473,22358,2.88453350214816,22
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/18 23:00:00+00,Tue 19 Oct 2021,7705,2325,121178,24683,3.09753409867725,23
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/19 23:00:00+00,Wed 20 Oct 2021,7524,2456,128702,27139,3.30947287767628,24
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/20 23:00:00+00,Thu 21 Oct 2021,8242,3081,136944,30220,3.549910839182,25
-856336.314876336,7036491.65084485,2022/02/14 00:00:00+00,2021/10/21 23:00:00+00,Fri 22 Oct 2021,5048,3072,141992,33292,3.72235000606298,26
